unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
321,next,NEXT305,2026-08-09,2026-08-09T15:16 .. 2026-08-09T15:20,2026-08-09T20:01:43,plausibility,,mined from round report/controls,search/test,PRCB margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,84 new candidates; 67 AUC; 83 SAFE; 67 AUC+SAFE; 0 BROAD,fail-gate,line 7082 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | SSD/workspace_data/newpauling/next305_prcb_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=85; eligi
322,next,NEXT306,2026-08-09,2026-08-09T15:21 .. 2026-08-09T15:24,2026-08-09T20:01:22,plausibility,,mined from round report/controls,diagnostic,PRCB residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.1573456864 (worse than NEXT235 by 0.0339502499); branch closed",diagnostic-only,line 7097 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | SSD/workspace_data/newpauling/next306_prcb_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=67 || SSD/workspace_data/newpauling/next306_prcb_broad_d
323,next,NEXT307,2026-08-09,2026-08-09T15:47 .. 2026-08-09T15:55,2026-08-09T20:44:57,plausibility,,mined from round report/controls,search/test,periodic bond-valence Hodge-loop (PBVHL) features,SCIGEN+WyFormer discovery,label-free feature build (cycle-space projection),"supported 12,969/13,470 (0.9628062361) and 4,988/5,232 (0.9533639144); max divergence 8.8059e-13",probe-pass,line 7146 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md | artifact mtime: docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md
324,next,NEXT308,2026-08-09,2026-08-09T15:56 .. 2026-08-09T16:00,2026-08-09T20:44:57,plausibility,,mined from round report/controls,search/test,PBVHL feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 4 protected_low hypotheses,0/4 eligible; e.g. sitewise loop-RMS q90 SCIGEN 0.743196/0.699427 vs WyFormer 0.474893/0.442564 (direction loss); branch terminated,abandoned-family,line 7229 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md | SSD/workspace_data/newpauling/next308_pbvhl_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next308_pbvhl
325,next,NEXT309,2026-08-09 (block),NA,2026-08-09T20:44:57,plausibility,,classified from round topic (no per-round class in the reports),search/test,PBVHL (follow-on search),NA,"reserved follow-on; ""NEXT309 and NEXT310 were not created""",NA,not-run (blocked upstream),line 7249 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md
326,next,NEXT310,2026-08-09 (block),NA,2026-08-09T20:44:57,plausibility,,classified from round topic (no per-round class in the reports),search/test,PBVHL (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 7249 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md
327,next,NEXT311,2026-08-09,2026-08-09T16:22 .. 2026-08-09T16:34,2026-08-09T21:13:23,plausibility,,mined from round report/controls,search/test,periodic charge-alternation eigenmode (PCAE) features,SCIGEN+WyFormer discovery,label-free feature build,"supported 13,203/13,470 (0.9801781737) and 5,046/5,232 (0.9644495413)",probe-pass,line 7277 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | artifact mtime: docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md
328,next,NEXT312,2026-08-09,2026-08-09T16:35 .. 2026-08-09T16:39,2026-08-09T21:13:23,plausibility,,mined from round report/controls,search/test,PCAE feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 3 protected_low hypotheses,2/3 eligible: unit eigen defect 0.603969/0.560993 SCIGEN & 0.551379/0.514915 WyFormer; two-step return defect reversed,probe-pass,line 7359 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | SSD/workspace_data/newpauling/next312_pcae_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=2 || SSD/workspace_data/newpauling/next312_pcae_f
329,next,NEXT313,2026-08-09,2026-08-09T16:41 .. 2026-08-09T16:45,2026-08-09T21:13:23,plausibility,,mined from round report/controls,search/test,PCAE margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,42 new candidates; 27 AUC; 40 SAFE; 27 AUC+SAFE; 0 BROAD,fail-gate,line 7388 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | SSD/workspace_data/newpauling/next313_pcae_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=43; eligi
330,next,NEXT314,2026-08-09,2026-08-09T16:46 .. 2026-08-09T16:48,2026-08-09T21:20:30,plausibility,,mined from round report/controls,diagnostic,PCAE residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.1544726160 (worse than NEXT235 by 0.0310771795); branch closed",diagnostic-only,line 7425 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | SSD/workspace_data/newpauling/next314_pcae_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=27 || SSD/workspace_data/newpauling/next314_pcae_broad_d
331,next,NEXT315,2026-08-09,2026-08-09T17:03 .. 2026-08-09T17:19,2026-08-09T22:03:05,plausibility,,mined from round report/controls,search/test,periodic charge Green-resistance (PCGR) features,SCIGEN+WyFormer discovery,label-free feature build (Laplacian pseudoinverse),"supported 13,203 (0.9801781737) and 5,046 (0.9644495413); nondegenerate ranges",probe-pass,line 7471 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | artifact mtime: docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md
332,next,NEXT316,2026-08-09,2026-08-09T17:21 .. 2026-08-09T17:28,2026-08-09T22:03:05,plausibility,,mined from round report/controls,search/test,PCGR feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 3 hypotheses,"1/3 eligible: voltage drop max SCIGEN 0.608070/0.581446, WyFormer 0.609492/0.523122",probe-pass,line 7559 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | SSD/workspace_data/newpauling/next316_pcgr_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=1 || SSD/workspace_data/newpauling/next316_pcgr_f
333,next,NEXT317,2026-08-09,2026-08-09T17:29 .. 2026-08-09T17:33,2026-08-09T22:03:05,plausibility,,mined from round report/controls,search/test,PCGR margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,21 new candidates; 13 AUC; 20 SAFE; 13 AUC+SAFE; 0 BROAD,fail-gate,line 7588 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | SSD/workspace_data/newpauling/next317_pcgr_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=22; eligi
334,next,NEXT318,2026-08-09,2026-08-09T17:35 .. 2026-08-09T17:38,2026-08-09T22:03:05,plausibility,,mined from round report/controls,diagnostic,PCGR residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.1530892361 (worse than NEXT235 by 0.0296937995); branch closed",diagnostic-only,line 7621 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | SSD/workspace_data/newpauling/next318_pcgr_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=13 || SSD/workspace_data/newpauling/next318_pcgr_broad_d
335,next,NEXT319,2026-08-09,2026-08-09T18:00 .. 2026-08-09T18:14,2026-08-09T22:57:47,plausibility,,mined from round report/controls,search/test,periodic contact-shell neutralization (PCSN) features,SCIGEN+WyFormer discovery,label-free feature build,"supported 13,203 (0.9801781737) and 5,046 (0.9644495413); both features finite everywhere",probe-pass,line 7686 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md | artifact mtime: docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md
336,next,NEXT320,2026-08-09,2026-08-09T18:15 .. 2026-08-09T18:19,2026-08-09T22:59:28,plausibility,,mined from round report/controls,search/test,PCSN feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 2 protected_low hypotheses,0/2 eligible; SCIGEN direction reversed (shell-1 q90 0.410741/0.380656; shell-2 0.452134/0.396980); branch terminated,abandoned-family,line 7777 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md | SSD/workspace_data/newpauling/next320_pcsn_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next320_pcsn_f
337,next,NEXT321,2026-08-09 (block),NA,2026-08-09T22:59:28,plausibility,,classified from round topic (no per-round class in the reports),search/test,PCSN (follow-on search),NA,"reserved follow-on; ""NEXT321 and NEXT322 were not created""",NA,not-run (blocked upstream),line 7792 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md
338,next,NEXT322,2026-08-09 (block),NA,2026-08-09T22:57:47,plausibility,,classified from round topic (no per-round class in the reports),search/test,PCSN (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 7792 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md
339,next,NEXT323,2026-08-09,2026-08-09T18:45 .. 2026-08-11T08:20,2026-08-09T23:42:41,plausibility,,mined from round report/controls,search/test,periodic global contact equilibrium (PGCE) features,SCIGEN+WyFormer discovery,label-free feature build (global reciprocal LP),"supported 13,413/13,470 (0.9957683742) and 5,072/5,232 (0.9694189602); max residuals 2.0081e-11 / 9.9978e-11",probe-pass,line 7838 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md | workspace/newpauling/experiments/next323_pgce_label_blind_probe_result.json :: probe_passed=True
340,next,NEXT324,2026-08-11,2026-08-11T08:29 .. 2026-08-11T10:05,2026-08-09T23:45:11,plausibility,,mined from round report/controls,search/test,PGCE feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of the single protected_high hypothesis,SCIGEN 0.7027481525/0.6681771516 pass; WyFormer 0.4238540620/0.3838522589 fail (reversal); 0 eligible; branch terminated,abandoned-family,line 7935 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md | SSD/workspace_data/newpauling/next324_pgce_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next324_pgce_f
341,next,NEXT325,2026-08-09 (block),NA,2026-08-09T23:45:11,plausibility,,classified from round topic (no per-round class in the reports),search/test,PGCE (follow-on search),NA,"reserved follow-on; ""NEXT325 and NEXT326 were not created""",NA,not-run (blocked upstream),line 7953 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md
342,next,NEXT326,2026-08-09 (block),NA,2026-08-09T23:42:41,plausibility,,classified from round topic (no per-round class in the reports),search/test,PGCE (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 7953 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md
343,next,NEXT327,2026-08-13,2026-08-13T01:13 .. 2026-08-13T01:20,2026-08-13T06:10:48,plausibility,,mined from round report/controls,search/test,radical-facet positive enclosure (RFPE),SCIGEN+WyFormer 80+80 label-blind probe,label-blind support/nondegeneracy/invariance/novelty(<0.90) gates,WyFormer Spearman 0.9386725280 vs NEXT323 PGCE (SCIGEN 0.8980075012); novelty failed; probe_passed=false,abandoned-family,line 8003 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md | artifact mtime: docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
344,next,NEXT328,2026-08-13 (block),NA,2026-08-13T06:13:28,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFPE (follow-on),NA,"reserved follow-on; ""NEXT328, NEXT329, and NEXT330 do not exist""",NA,not-run (blocked upstream),line 8054 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
345,next,NEXT329,2026-08-13 (block),NA,2026-08-13T06:13:28,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFPE (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),line 8054 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
346,next,NEXT330,2026-08-13 (block),NA,2026-08-13T06:13:28,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFPE (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),line 8054 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
347,next,NEXT331,2026-08-13,2026-08-13T01:34 .. 2026-08-13T01:44,2026-08-13T06:24:28,plausibility,,mined from round report/controls,search/test,radical-facet minimum participation (RFMP),SCIGEN+WyFormer 80+80 label-blind probe,label-blind support/domain/invariance/novelty gates,"WyFormer support 69/80 < frozen 72/80 floor (6 quantization collapses, 4 empty cells, 1 certificate miss); probe_passed=false",abandoned-family,line 8082 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md | artifact mtime: docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
348,next,NEXT332,2026-08-13 (block),NA,2026-08-13T06:34:23,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFMP (follow-on),NA,"reserved follow-on; ""NEXT332, NEXT333, and NEXT334 do not exist""",NA,not-run (blocked upstream),line 8152 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
349,next,NEXT333,2026-08-13 (block),NA,2026-08-13T06:34:23,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFMP (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),line 8152 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
350,next,NEXT334,2026-08-13 (block),NA,2026-08-13T06:34:23,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFMP (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),line 8152 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
351,next,NEXT335,2026-08-13,2026-08-13T01:51 .. 2026-08-13T01:56,2026-08-13T06:51:18,plausibility,,mined from round report/controls,search/test,radical-facet Minkowski tensor (RFMT),SCIGEN+WyFormer 80+80 label-blind probe,label-blind novelty(<0.90) gate,novelty failed both sources: 0.9079231130 / 0.9430256859 vs NEXT267 vertex-anisotropy q90; probe_passed=false,abandoned-family,line 8181 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md | artifact mtime: docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
352,next,NEXT336,2026-08-13 (block),NA,2026-08-13T06:51:18,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFMT (follow-on),NA,"reserved follow-on; ""NEXT336, NEXT337, and NEXT338 do not exist""",NA,not-run (blocked upstream),line 8232 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
353,next,NEXT337,2026-08-13 (block),NA,2026-08-13T06:51:18,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFMT (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),line 8232 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
354,next,NEXT338,2026-08-13 (block),NA,2026-08-13T06:51:18,plausibility,,classified from round topic (no per-round class in the reports),search/test,RFMT (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),line 8232 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
